name,address,city,country,category,lat,lon,rating,user_ratings_total
The Château de Longchamp - Good Planet Foundation,"1 Carr de Longchamp, 75016 Paris, France",Paris,FR,castles,48.864689,2.23756,4.6,191.0
Keep of Vincennes,"Av. de Paris, 94300 Vincennes, France",Paris,FR,castles,48.842822,2.434218,4.6,764.0
Castle of the White Queen,"6 Rue Gustave Geffroy, 75013 Paris, France",Paris,FR,castles,48.835365,2.351006,4.1,123.0
Castle Park,"1 Rue de la République, 92150 Suresnes, France",Paris,FR,castles,48.864652,2.225417,4.5,1268.0
Maisons-Laffitte Castle,"2 Av. Carnot, 78600 Maisons-Laffitte, France",Paris,FR,castles,48.947161,2.153885,4.4,1704.0
Château des Montalets,"19 Bd Anatole France, 92190 Meudon, France",Paris,FR,castles,48.817501,2.242265,4.8,8.0
Château de Madrid,"31 Bd du Commandant Charcot, 92200 Neuilly-sur-Seine, France",Paris,FR,castles,48.874723,2.255036,4.5,2.0
Château de la Muette,"2 Rue André Pascal, 75016 Paris, France",Paris,FR,castles,48.861429,2.269333,4.5,19.0
Château de Saint-Germain-en-Laye,"1 Pl. Charles de Gaulle, 78100 Saint-Germain-en-Laye, France",Paris,FR,castles,48.898019,2.096039,4.5,3637.0
Château d'Asnières,"89 Rue du Château, 92600 Asnières-sur-Seine, France",Paris,FR,castles,48.910439,2.293507,4.2,352.0
Château Raspail,"21 Rue Gallieni, 94230 Cachan, France",Paris,FR,castles,48.795313,2.333099,5.0,2.0
Château De Saint-Ouen-Sur-Seine,"12 Rue Albert Dhalenne, 93400 Saint-Ouen-sur-Seine, France",Paris,FR,castles,48.91651,2.329556,4.2,50.0
Château de Bagatelle,"35 Rte de Sèvres À Neuilly, 75016 Paris, France",Paris,FR,castles,48.871752,2.24727,4.7,32.0
Eiffel Tower,"Av. Gustave Eiffel, 75007 Paris, France",Paris,FR,landmark,48.85837,2.294481,4.7,428607.0
Arc de Triomphe,"Pl. Charles de Gaulle, 75008 Paris, France",Paris,FR,landmark,48.873792,2.295028,4.7,260986.0
Notre-Dame Cathedral of Paris,"6 Parvis Notre-Dame - Pl. Jean-Paul II, 75004 Paris, France",Paris,FR,landmark,48.852968,2.349902,4.7,60631.0
Panthéon,"Pl. du Panthéon, 75005 Paris, France",Paris,FR,landmark,48.846222,2.346414,4.6,59548.0
Place de la Concorde,"75008 Paris, France",Paris,FR,landmark,48.865633,2.321236,4.6,65135.0
Palais de Chaillot,"1 Pl. du Trocadéro et du 11 Novembre, 75016 Paris, France",Paris,FR,landmark,48.862369,2.288151,4.6,5999.0
Statue of Liberty Paris - Frederic Auguste Bartholdi,"All. des Cygnes, 75015 Paris, France",Paris,FR,landmark,48.850017,2.279696,4.5,5187.0
Colonne Vendôme,"Pl. Vendôme, 75001 Paris, France",Paris,FR,landmark,48.867462,2.329477,4.7,3354.0
Montparnasse Tower,"33 Av. du Maine, 75015 Paris, France",Paris,FR,landmark,48.842138,2.321951,4.5,14670.0
Hôtel des Invalides,"75007 Paris, France",Paris,FR,landmark,48.856529,2.312706,4.7,39089.0
Place Saint-Michel,"Pl. Saint-Michel, 75006 Paris, France",Paris,FR,landmark,48.852836,2.343401,4.6,592.0
Basilique du Sacré-Cœur de Montmartre,"35 Rue du Chevalier de la Barre, 75018 Paris, France",Paris,FR,landmark,48.886705,2.343104,4.7,145215.0
Wall of I Love You,"Square Jehan Rictus, 14 Pl. des Abbesses, 75018 Paris, France",Paris,FR,landmark,48.884804,2.338578,4.3,16939.0
Conciergerie,"2 Bd du Palais, 75001 Paris, France",Paris,FR,landmark,48.856011,2.345495,4.4,10072.0
Fontaine Saint-Michel,"Pl. Saint-Michel, 75005 Paris, France",Paris,FR,landmark,48.853237,2.343774,4.4,7320.0
Le Marais,"54 Rue Vieille du Temple, 75003 Paris, France",Paris,FR,landmark,48.858703,2.358804,4.6,409.0
Crypte Archéologique de l'İle de la Cité,"7 Parvis Notre-Dame - Pl. Jean-Paul II, 75004 Paris, France",Paris,FR,landmark,48.85365,2.347715,4.3,1952.0
Monument to Human Rights,"Av. Charles Risler, 75007 Paris, France",Paris,FR,landmark,48.855233,2.301155,4.4,789.0
Monument à la République,"Pl. de la République, 75010 Paris, France",Paris,FR,landmark,48.867543,2.363792,4.5,278.0
Passage Jouffroy,"10-12 Bd Montmartre, 75009 Paris, France",Paris,FR,landmark,48.871856,2.341932,4.5,1705.0
Place des Victoires,"75001 Paris, France",Paris,FR,landmark,48.865761,2.341185,4.5,491.0
