name,kind,city,country,lat,lon,rate
"14 rue Quincampoix, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859627,2.349872,2
"9 rue Quincampoix, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859531,2.349606,2
"41 rue Saint-Merri, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859932,2.351214,2
Petit Châtelet,"fortifications,historic,interesting_places,castles",Paris,FR,48.857498,2.347222,3
"24 rue des Lombards, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859409,2.349294,2
"11 rue Quincampoix, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859562,2.349636,2
"94 rue Saint-Martin, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859894,2.350858,2
église Saint-Leufroy de Paris,"religion,churches,interesting_places,other_churches",Paris,FR,48.857639,2.34725,3
Association Paris historique,"other,unclassified_objects,interesting_places,historic_object",Paris,FR,48.855568,2.357155,2
Hôtel Raoul de la Faye,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.857677,2.357136,2
église Sainte-Croix de la Cité,"religion,churches,interesting_places,other_churches",Paris,FR,48.855068,2.347547,3
maison d'Ourscamp,"historic,archaeology,interesting_places,other_archaeological_sites",Paris,FR,48.855572,2.357163,3
hôtel du 28 rue Geoffroy-l'Asnier,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.855,2.3568,2
"43 rue Saint-Merri, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859959,2.351169,2
"16 rue Quincampoix, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859688,2.349906,2
"45 rue Saint-Merri, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.85997,2.351128,2
"96 rue Saint-Martin, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859943,2.350903,2
"18 rue Quincampoix, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859718,2.349947,2
"13 rue Quincampoix, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859634,2.349689,2
"47 rue Saint-Merri, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859978,2.351042,2
Maison de Jacques Cœur,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.858994,2.356031,2
"98 rue Saint-Martin, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.85997,2.350914,2
Église Saint-Pierre-aux-Bœufs de Paris,"religion,churches,interesting_places,other_churches",Paris,FR,48.853889,2.348889,3
"53 quai de Bourbon, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.853188,2.353358,2
"100 rue Saint-Martin, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.860001,2.350944,2
Pont au Change,"stone_bridges,bridges,interesting_places,architecture",Paris,FR,48.85685,2.34689,3
"15 rue Quincampoix, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.859737,2.349756,2
Île Saint-Louis,"historic,monuments_and_memorials,burial_places,interesting_places,other_burial_places,restaurants,foods,monuments,tourist_facilities",Paris,FR,48.853298,2.354095,2
Musée de Notre Dame de Paris,"museums,cultural,interesting_places,other_museums",Paris,FR,48.853333,2.350139,3
Théâtre du Tourtour,"theatres_and_entertainments,cultural,interesting_places,other_theatres",Paris,FR,48.859844,2.349995,2
église de la Madeleine-en-la-Cité,"religion,churches,interesting_places,other_churches",Paris,FR,48.854618,2.347706,3
Paris Métro entrances by Hector Guimard,"urban_environment,cultural,interesting_places,installation",Paris,FR,48.855232,2.34716,2
Hôtel de Chalon-Luxembourg,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.854805,2.356944,3
Église Saint-Jean-le-Rond de Paris,"religion,churches,interesting_places,other_churches",Paris,FR,48.853481,2.349443,3
Lutetia,"settlements,historic,archaeology,interesting_places",Paris,FR,48.854721,2.3475,3
Lukotekia,"settlements,historic,archaeology,interesting_places",Paris,FR,48.854721,2.3475,2
Tribunal de commerce de Paris,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.855701,2.34681,3
"120 rue Saint-Martin - 59 rue Simon-le-Franc, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.860279,2.351667,2
Hôtel Roualle de Boisgelin,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.853195,2.354444,2
"28 rue des Blancs-Manteaux, Paris","historic_architecture,architecture,interesting_places,shops,bakeries,tourist_facilities,other_buildings_and_structures",Paris,FR,48.859444,2.355833,2
église Saint-Barthélemy de Paris,"religion,churches,interesting_places,other_churches",Paris,FR,48.855835,2.346667,3
National museum of modern art,"national_museums,cultural,museums,interesting_places,art_galleries",Paris,FR,48.860325,2.35226,3
"20 rue Quincampoix, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.860035,2.349925,2
Notre Dame,"other,unclassified_objects,interesting_places,historic_object",Paris,FR,48.853367,2.349303,3
Le Pot doré,"historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",Paris,FR,48.860401,2.35169,2
Théâtre de la Cité-Variétés,"architecture,historic_architecture,theatres_and_entertainments,cultural,interesting_places,destroyed_objects,other_theatres",Paris,FR,48.855804,2.346522,3
Châtelet,"railway_stations,industrial_facilities,interesting_places",Paris,FR,48.85878,2.34741,3
"36 rue Vieille-du-Temple, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.857677,2.357792,2
Pont Saint-Louis,"view_points,other,interesting_places",Paris,FR,48.852768,2.352763,3
Pont Saint-Louis,"bridges,architecture,interesting_places,other_bridges",Paris,FR,48.85276,2.352762,3
"25 rue Quincampoix, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.860176,2.349992,2
Horizontal,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,installation,sculptures,monuments",Paris,FR,48.860447,2.351724,2
Palais épiscopal de Paris,"religion,palaces,architecture,historic_architecture,other_temples,interesting_places",Paris,FR,48.8531,2.34972,3
Chapelle Saint-Christophe de Paris,"religion,churches,interesting_places,other_churches",Paris,FR,48.8531,2.34972,3
Ancienne cathédrale Saint-Étienne de Paris,"religion,cathedrals,interesting_places",Paris,FR,48.8531,2.34972,3
Le Duc des Lombards,"cultural,theatres_and_entertainments,interesting_places,other_theatres",Paris,FR,48.859692,2.348605,3
Charles V clock,"other,unclassified_objects,interesting_places,historic_object",Paris,FR,48.856201,2.346308,2
Cathédrale primitive Notre-Dame de Paris,"religion,cathedrals,interesting_places",Paris,FR,48.853062,2.34972,3
Boutique Georges Pompidou,"national_museums,urban_environment,cultural,museums,interesting_places,installation,art_galleries",Paris,FR,48.860504,2.352395,3
Chapelle Sainte-Marie,"religion,other_temples,interesting_places",Paris,FR,48.85873,2.357186,3
Cathedral of Notre Dame,"religion,architecture,historic_architecture,cathedrals,churches,interesting_places,destroyed_objects,catholic_churches",Paris,FR,48.852936,2.35005,3
Point zéro des routes de France,"milestones,historic,monuments_and_memorials,interesting_places",Paris,FR,48.853325,2.34886,3
fontaine du Parvis Notre-Dame,"fountains,historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",Paris,FR,48.853428,2.348637,2
Tour de l'Horloge,"towers,architecture,interesting_places,clock_towers",Paris,FR,48.856194,2.346233,3
"111 rue Saint-Martin, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.860458,2.350925,2
Louis XIII,"historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",Paris,FR,48.852814,2.35042,2
Crédit municipal de Paris,"architecture,historic_architecture,interesting_places,banks,bank,tourist_facilities,other_buildings_and_structures",Paris,FR,48.859325,2.356603,3
Square Jean XXIII,"historic,monuments_and_memorials,burial_places,interesting_places,other_burial_places,monuments",Paris,FR,48.852627,2.35196,2
pont Marchand,"architecture,bridges,interesting_places,stone_bridges",Paris,FR,48.8568,2.34616,3
Tribunal de Commerce,"historic,monuments_and_memorials,burial_places,interesting_places,other_burial_places,monuments",Paris,FR,48.85564,2.34632,2
Place du Bataillon-Français-de-l'ONU-en-Corée,"historic,burial_places,interesting_places,war_memorials",Paris,FR,48.853901,2.35667,3
"9 rue Aubriot, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.858822,2.357244,2
"113 rue Saint-Martin, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.860508,2.350944,2
Centre Georges Pompidou,"national_museums,cultural,museums,interesting_places,art_galleries",Paris,FR,48.860592,2.352474,3
Sainte-Geneviève-des-Ardents,"religion,churches,interesting_places,other_churches",Paris,FR,48.853729,2.34796,3
fontaine du Trésor,"fountains,historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",Paris,FR,48.856899,2.35828,3
Théâtre des Blancs-Manteaux,"cultural,theatres_and_entertainments,interesting_places,other_theatres",Paris,FR,48.858715,2.357397,3
Archeological crypt of the île de la Cité,"historic,archaeology,cultural,museums,interesting_places,other_museums,other_archaeological_sites",Paris,FR,48.853542,2.348198,3
"115 rue Saint-Martin, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.860558,2.351,2
Église Saint-Pierre des Arcis,"religion,churches,interesting_places,other_churches",Paris,FR,48.855228,2.34643,3
Hôtel Amelot de Bisseuil,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.858223,2.357861,3
église Saint-Christophe (ancienne),"religion,churches,interesting_places,other_churches",Paris,FR,48.853981,2.34748,3
Île Saint-Louis,"historic,monuments_and_memorials,burial_places,interesting_places,other_burial_places,monuments",Paris,FR,48.852528,2.3523,2
La fontaine de la Vierge,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",Paris,FR,48.852562,2.351384,3
"117 rue Saint-Martin, Paris","historic_architecture,architecture,interesting_places,other_buildings_and_structures",Paris,FR,48.8606,2.351011,2
Rue des Rosiers,"other,unclassified_objects,interesting_places,tourist_object",Paris,FR,48.857788,2.358137,3
Théâtre du Châtelet,"theatres_and_entertainments,concert_halls,cultural,interesting_places,music_venues,opera_houses",Paris,FR,48.857796,2.346263,3
