name,lat,lon,rate,rating,user_ratings_total,kind,category,city,country,theme,price_level,category_main,category_encoded,theme_encoded,city_encoded,country_encoded,price_per_review,log_user_ratings,log_price_per_review,distance_to_city_center,in_center_dynamic,is_religious,is_entertainment,kind_count,name_length,word_count,theme_popularity,city_category_density,user_ratings_relative
Vienna Gate,47.505043,19.03063,3,4.3,3661,"fortifications,defensive_walls,historic,interesting_places",landmark,Budapest,HU,culture,1,landmark,15,1.0,7,7,0.0,8.205764725234456,0.0,0.011941831894646253,0,0,0,4,11,2,591.0,6,0.6153975458060178
"Church of Saint Mary Magdalene, Magdolna-torony",47.503765,19.028873,3,4.9,1892,"towers,religion,architecture,historic_architecture,churches,interesting_places,destroyed_objects,other_towers,other_churches",towers,Budapest,HU,religion,1,towers,30,2.0,7,7,0.0,7.545918151209323,0.0,0.012755357854640997,0,1,0,9,47,6,223.0,1,0.3180366448142545
"Basilica Budapest, St. Stephen's Basilica",47.500778,19.053993,3,3.3,308,"religion,cathedrals,churches,interesting_places,catholic_churches",churches,Budapest,HU,religion,1,churches,6,2.0,7,7,0.0,5.733341276897746,0.0,0.014090057948779572,0,1,0,5,41,5,223.0,13,0.05177340729534376
"Lutheran church, Deák tér",47.497204,19.054659,3,2.0,356,"religion,churches,interesting_places,other_churches",churches,Budapest,HU,religion,1,churches,6,2.0,7,7,0.0,5.877735781779639,0.0,0.01447574167357449,0,1,0,4,25,4,223.0,13,0.05984199025046226
István Örkény Theatre,47.497341,19.056684,3,4.5,3154,"cultural,theatres_and_entertainments,interesting_places,other_theatres",theatres,Budapest,HU,entertainment,2,theatres,29,3.0,7,7,0.0,8.056743774975313,0.0,0.016493475588852308,0,0,1,4,21,3,103.0,3,0.5301731383425786
"Batthyány's sanctuary lamp, Lajos Batthyányi Eternal Flame",47.506004,19.051983,3,2.4,457,"historic,monuments_and_memorials,interesting_places,monuments",landmark,Budapest,HU,culture,1,landmark,15,1.0,7,7,0.0,6.126869184114185,0.0,0.014300835814733414,0,0,0,4,58,7,591.0,6,0.07681963355185746
"István Tisza, István Tisza Monument",47.508785,19.045906,3,3.1,190,"cultural,urban_environment,interesting_places,sculptures",monuments,Budapest,HU,culture,1,monuments,18,1.0,7,7,0.01,5.25227342804663,0.009950330853168083,0.012289900772587192,0,0,0,4,35,5,591.0,15,0.031938140864010756
"Fountain of the Nereids, Well of the Nereids",47.493011,19.055986,1,1.5,24,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",public sculpture,Budapest,HU,culture,1,public sculpture,23,1.0,7,7,0.04,3.2188758248682006,0.039220713153281295,0.01652574104238753,0,0,0,8,44,8,591.0,5,0.004034291477559254
"First Unitarian Church in Budapest, Unitarian Church",47.507896,19.051842,1,1.5,49,"religion,churches,interesting_places,other_churches",churches,Budapest,HU,religion,1,churches,6,2.0,7,7,0.02,3.912023005428146,0.019802627296179712,0.015344581454052925,0,1,0,4,52,7,223.0,13,0.008236678433350143
"Taras Shevchenko Monument, Tarasz Sevcsenko",47.51115,19.03796,1,1.6,70,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",monuments,Budapest,HU,culture,1,monuments,18,1.0,7,7,0.01,4.2626798770413155,0.009950330853168083,0.013438009525222405,0,0,0,7,43,5,591.0,15,0.01176668347621449
Hungarian Jewish Museum and Archives,47.495987,19.060049,3,4.8,209,"cultural,museums,interesting_places,other_museums",museums,Budapest,HU,culture,2,museums,20,1.0,7,7,0.01,5.3471075307174685,0.009950330853168083,0.01994097214280271,0,0,0,4,36,5,591.0,4,0.03513195495041183
"Saint George Serbian Orthodox Church, Szerb ortodox templom",47.489449,19.057087,3,3.9,253,"religion,churches,interesting_places,eastern_orthodox_churches",churches,Budapest,HU,religion,1,churches,6,2.0,7,7,0.0,5.537334267018537,0.0,0.01888359526149703,0,1,0,4,59,8,223.0,13,0.042528155992603796
